"product_category","product_subcategory","product_name","product_price","product_unit","vendor","product_description"
"Office electronics","Calculators","TI-84","101,38","units","Tejas Instruments",
"Office electronics","Calculators","MS-80B","7,99","units","Ocasio",
"Office electronics","Calculators","P23 Printing Calculator","22,13","units","Shannon",
"Office electronics","Shredders","Burn-O-Matic 3000","29,99","units","Prost",
"Office electronics","Shredders","HideItShredder (720 cuts)","59,7","units","Prost",
"Office electronics","Shredders","ShredderMelter Pyromatic X","89,99","units","Prost",
"Office electronics","Printers","Multifunction Machine PrintItAll","910,1","units","Shannon",
"Office electronics","Printers","Desktop A4 laser printer","249,16","units","Shannon",
"Office electronics","Printers","GuttembergEco Movable Type Press (25 pages/h, 0W)","697,99","units","Shannon",
"Office electronics","Appliances","SurpriseFlavor Coffee machine","299,99","units","Prost",
"Office electronics","Appliances","BeholderTM Webcam (with motion detection)","129,7","units","Shannon",
"Office electronics","Appliances","Air Conditioner ClimaTronic","399,99","units","Prost",
"Office electronics","Appliances","Random high-pressure office water LOL fountain","99,99","units","Prost",
"Office basics","Clips","Gold Binder Clips (30/tub)","42,89","tubs","Officebro",
"Office basics","Clips","Metal Plain Paper Clips (200 pack)","6,99","packs","Officebro",
"Office basics","Scissors","Ultra Sharp Precision Scissors","14,88","pairs","Tenesee ",
"Paper & Stationery","Stick Notes","Sticky Notes Multicolor (5 pack)","5,09","packs","Validate-it",
"Paper & Stationery","Stick Notes","Sticky Notes Fancy Edition","7,99","packs","Validate-it",
"Paper & Stationery","Paper","Hammermill Paper (5000 sheets)","29,99","packs","8P",
"Paper & Stationery","Paper","Bleach whitened recycled paper (2000 sheets)","39,99","packs","8P",
"Paper & Stationery","Notebooks","Top Legal Pad 8.5 x 11.75 inch (12/pack)","10,99","packs","8P",
"Paper & Stationery","Notebooks","Classic Notebook","12,91","units","Moleskin ",
"Paper & Stationery","Notebooks","Sore Journal (Black Rock)","6,31","units","8P",
"Paper & Stationery","Notebooks","Perforated legal pad (pack 6)","5,99","packs","8P",
"Writing","Markers & Highlighters","Extreme Permanent Marker (pack 4)","4,99","packs","Sharpy ",
"Writing","Markers & Highlighters","Breeze Liner","4,99","units","PIC",
"Writing","Markers & Highlighters","Low-odor Dry Eraser","8,99","packs","PIC",
"Furniture","Desk Chairs","Mid-back Mesh Chair","64,99","units","WebshopBasics",
"Furniture","Desk Chairs","Executive Chair ","109,99","units","WebshopBasics",
"Furniture","Desk Chairs","Ergonomic Knee Chair","86,99","units","WorkClever",
"Furniture","Desk Chairs","Replacement Chair Bell Glides (pack 5)","14,99","packs","WebshopBasics",
"Supplies","Desk Accesories","Gel Mouse Pad","6,95","units","Bekeen",
"Supplies","Desk Accesories","Wrist-rest Support Contraption","19,44","units","Dislocated",
"Supplies","Desk Accesories","Portable laptop stand/table","39,97","units","WebshopBasics",
"Supplies","Desk Accesories","Desk Supplies Organizer Caddy","10,87","units","WorkClever",
"Supplies","Desk Accesories","Gun Cylinder Pen Holder","17,99","units","WorkClever",
"Books","Self-help books","Copying with your boss daiy (2013)","22,5","units","McClawPill",
"Books","Self-help books","Sleeping at work: tips, strategies and hideouts (2007)","27,9","units","McClawPill",
"Books","Self-help books","Finding a good self-help book (2014)","15,5","units","McClawPill",
"Books","Technical books","Proper whiteboard erasing (2008)","9,89","units","McClawPill",
"Books","Technical books","Security through obscurity best practices (2011)","42,79","units","Abomination",
"Books","Technical books","Mastering the fax machine (2012)","19,99","units","Abomination",
"Books","Technical books","Work for dummies (2010)","22,5","units","McClawPill",
"Books","Technical books","Getting StackOvercrowded users to code for you (2013)","37,9","units","Abomination",
"Books","Technical books","Unexplainably expensive technical book (2014)","159,99","units","Abomination",
"Books","Research","Rise of AI and the end of economy as we know it (2015)","62,2","units","McClawPill",
"Books","Research","Is there a limit to productivity or can it raise to infinity? (2012)","40,1","units","McClawPill",
"Books","Research","Rolling your own cryptography system for best security (2015)","37,79","units","Abomination",
"Books","Self-help books","You are probably overthinking this (2014)","21,15","units","Abomination",
"Software","Data Engineering","Cubes: Fantastic Python OLAP/ROLAP server",0,"licenses","DataBrewery",
"Software","Data Engineering","CubesViewer: Awesome HTML5 OLAP viewer for Cubes",0,"licenses","CubesViewer",
